"","Line","Treatment","Erythrocytic.cycle.number","N","Parasitaemia","sd","se","ci"
"41","rom4","RAP-",0,3,0.136666666666667,0.0305505046330389,0.0176383420737639,0.0758916606719352
"42","rom4","RAP-",1,3,0.696666666666667,0.150443787951957,0.0868587614719692,0.373723087150026
"43","rom4","RAP-",2,3,6.69,0.680367547726962,0.392810386828047,1.69012668315964
"44","rom4","RAP-",3,3,33.6,0.624499799839838,0.360555127546398,1.55134350376267
"45","rom4","RAP+",0,3,0.15,0.0173205080756888,0.01,0.0430265272974946
"46","rom4","RAP+",1,3,0.193333333333333,0.0642910050732864,0.0371184290855335,0.159707710228882
"47","rom4","RAP+",2,3,0.213333333333333,0.0378593889720018,0.02185812841434,0.0940479358891743
"48","rom4","RAP+",3,3,0.423333333333333,0.0378593889720018,0.02185812841434,0.0940479358891743
"49","rom8","RAP-",0,3,0.0876666666666667,0.0370720020140986,0.0214035303422382,0.0920919582533066
"50","rom8","RAP-",1,3,0.503333333333333,0.0472581562625261,0.0272845092395748,0.117395768159531
"51","rom8","RAP-",2,3,4.76333333333333,0.185022521151706,0.106822802393081,0.459621422316075
"52","rom8","RAP-",3,3,27.7666666666667,1.26622799421484,0.731057073315377,3.14548471210306
"53","rom8","RAP+",0,3,0.143333333333333,0.0404145188432738,0.0233333333333333,0.100395230360821
"54","rom8","RAP+",1,3,0.126666666666667,0.0305505046330389,0.0176383420737639,0.0758916606719352
"55","rom8","RAP+",2,3,0.041,0.01,0.00577350269189626,0.0248413771175033
"56","rom8","RAP+",3,3,0.117666666666667,0.0235867194271127,0.0136177988105437,0.0585926592253647
"57","rom9","RAP-",0,3,0.126666666666667,0.0115470053837925,0.00666666666666667,0.0286843515316631
"58","rom9","RAP-",1,3,1.62,0.243310501211929,0.14047538337137,0.604416791725427
"59","rom9","RAP-",2,3,12.0333333333333,1.44337567297406,0.833333333333333,3.58554394145789
"60","rom9","RAP-",3,3,28.3333333333333,2.37135685491099,1.36910351852752,5.89077699130204
"61","rom9","RAP+",0,3,0.0873333333333333,0.024704925284917,0.0142633952635564,0.0613704365662367
"62","rom9","RAP+",1,3,1.21333333333333,0.238607068908977,0.137759855465145,0.592732818167
"63","rom9","RAP+",2,3,10.4466666666667,2.23388301693113,1.28973296116332,5.54927304599723
"64","rom9","RAP+",3,3,27.6666666666667,2.55408170059874,1.47459975737298,6.34469067134874
"65","sub1","RAP-",0,3,0.103333333333333,0.00577350269189625,0.00333333333333333,0.0143421757658315
"66","sub1","RAP-",1,3,0.256666666666667,0.0416333199893227,0.0240370085030933,0.103422900250845
"67","sub1","RAP-",2,3,2.08333333333333,0.190875177362939,0.11020183503211,0.474160226324309
"68","sub1","RAP-",3,3,10.4,0.3,0.173205080756888,0.745241313525099
"69","sub1","RAP+",0,3,0.15,0.02,0.0115470053837925,0.0496827542350066
"70","sub1","RAP+",1,3,0.0103333333333333,0.0105039675043925,0.00606446846622008,0.0260933018006614
"71","sub1","RAP+",2,3,0.065,0.023388031127053,0.0135030860670194,0.0580990901263029
"72","sub1","RAP+",3,3,0.100333333333333,0.0452806065919322,0.0261427704049216,0.112483262445949
